City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
airai,-8.9266,125.4092,59.59,94,93,2.91,TL,1659789842
san lorenzo,-25.3333,-57.5333,58.14,94,100,8.05,PY,1659789843
cap malheureux,-19.9842,57.6142,72.46,70,4,7.0,MU,1659789844
punta arenas,-53.15,-70.9167,35.71,93,75,3.44,CL,1659789735
pouembout,-21.1333,164.9,71.55,92,10,2.35,NC,1659789845
puerto quijarro,-17.7833,-57.7667,83.08,47,100,3.67,BO,1659789846
albany,42.6001,-73.9662,78.39,84,74,2.68,US,1659789847
aborlan,9.4352,118.5492,78.87,93,100,4.12,PH,1659789848
naze,28.3667,129.4833,81.52,81,2,1.92,JP,1659789849
kapaa,22.0752,-159.319,73.72,92,40,6.91,US,1659789628
pakokku,21.3333,95.1,90.48,53,93,8.81,MM,1659789851
severo-kurilsk,50.6789,156.125,53.15,93,100,7.74,RU,1659789851
kavieng,-2.5744,150.7967,80.96,78,4,8.03,PG,1659789852
iskateley,67.6803,53.1512,82.09,47,69,15.14,RU,1659789853
ancud,-41.8697,-73.8203,41.23,76,100,8.63,CL,1659789855
tuktoyaktuk,69.4541,-133.0374,50.4,89,100,10.87,CA,1659789855
ushuaia,-54.8,-68.3,29.86,93,0,4.61,AR,1659789857
hermanus,-34.4187,19.2345,58.8,68,100,19.1,ZA,1659789858
yar-sale,66.8333,70.8333,67.24,56,85,15.84,RU,1659789859
nacala,-14.5428,40.6728,85.32,52,40,11.74,MZ,1659789859
geraldton,-28.7667,114.6,50.41,87,0,10.36,AU,1659789860
rikitea,-23.1203,-134.9692,68.09,68,100,18.9,PF,1659789862
dedza,-14.3779,34.3332,70.72,30,0,7.31,MW,1659789862
kaitangata,-46.2817,169.8464,44.69,89,72,6.62,NZ,1659789863
port macquarie,-31.4333,152.9167,52.11,68,0,7.76,AU,1659789764
erenhot,43.6475,111.9767,81.27,53,44,17.11,CN,1659789865
busselton,-33.65,115.3333,56.71,79,5,15.39,AU,1659789866
cape town,-33.9258,18.4232,69.12,67,20,23.02,ZA,1659789866
thompson,55.7435,-97.8558,44.76,100,20,5.75,CA,1659789867
vanimo,-2.6741,141.3028,77.85,83,100,3.49,PG,1659789868
upernavik,72.7868,-56.1549,41.16,89,76,7.56,GL,1659789869
yellowknife,62.456,-114.3525,55.92,71,75,15.01,CA,1659789624
nipawin,53.3668,-104.0009,48.24,100,0,6.91,CA,1659789870
hobart,-42.8794,147.3294,42.66,89,75,6.91,AU,1659789871
bengkulu,-3.8004,102.2655,78.06,78,0,3.33,ID,1659789872
puerto ayora,-0.7393,-90.3518,68.56,95,90,8.01,EC,1659789873
vardo,70.3705,31.1107,53.58,82,20,4.61,NO,1659789874
haines junction,60.7522,-137.5108,40.95,87,99,4.61,CA,1659789874
leningradskiy,69.3833,178.4167,35.38,95,97,3.31,RU,1659789875
khatanga,71.9667,102.5,63.9,67,39,6.33,RU,1659789876
dudinka,69.4058,86.1778,61.63,87,76,7.2,RU,1659789877
lom sak,16.7798,101.2422,75.92,95,100,2.15,TH,1659789878
korla,41.7597,86.1469,92.55,20,89,9.01,CN,1659789879
dikson,73.5069,80.5464,41.86,99,100,7.49,RU,1659789881
bambous virieux,-20.3428,57.7575,72.21,73,75,12.66,MU,1659789882
